ARTNR;PFAD;BILDNUMMER;
015700;https://best-nutrition.de/media/image/product/130/lg/olimp-l-carnitine-1500-extreme-mega-caps-120-kapsel.jpg;1;
015800;https://best-nutrition.de/media/image/product/131/lg/olimp-omega-3-gold-edition-60-kapsel.jpg;1;
015900;https://best-nutrition.de/media/image/product/132/lg/olimp-omega-3-sport-edition-120-kapsel.jpg;1;
016000;https://best-nutrition.de/media/image/product/133/lg/olimp-gold-glucosamine-1000-60-kapsel.jpg;1;
016100;https://best-nutrition.de/media/image/product/134/lg/olimp-chela-mag-b6-60-kapsel.jpg;1;
016200;https://best-nutrition.de/media/image/product/135/lg/olimp-amok-60-kapsel.jpg;1;
016400;https://best-nutrition.de/media/image/product/139/lg/olimp-iso-plus-700g.jpg;1;
016401;https://best-nutrition.de/media/image/product/140/lg/olimp-iso-plus-700g-zitrone.jpg;1;
016402;https://best-nutrition.de/media/image/product/141/lg/olimp-iso-plus-700g-orange.jpg;1;
016403;https://best-nutrition.de/media/image/product/142/lg/olimp-iso-plus-700g-tropic-blue.jpg;1;
016500;https://best-nutrition.de/media/image/product/146/lg/olimp-pillenbox.png;1; 
016500;https://best-nutrition.de/media/image/product/146/lg/olimp-pillenbox~2.jpg;2;
013401;https://best-nutrition.de/media/image/product/150/lg/olimp-bcaa-xplode-powder-1kg-ananas.jpg;1;
013402;https://best-nutrition.de/media/image/product/151/lg/olimp-bcaa-xplode-powder-1kg-zitrone.jpg;1;
013403;https://best-nutrition.de/media/image/product/152/lg/olimp-bcaa-xplode-powder-1kg-orange.jpg;1;
020700;https://best-nutrition.de/media/image/product/159/lg/gn-caffein-boost-90-caps.jpg;1; 
020700;https://best-nutrition.de/media/image/product/159/lg/gn-caffein-boost-90-caps~2.jpg;2;
021100;https://best-nutrition.de/media/image/product/163/lg/gn-milk-thistle-300-90-caps.jpg;1; 
021100;https://best-nutrition.de/media/image/product/163/lg/gn-milk-thistle-300-90-caps~2.jpg;2;
021800;https://best-nutrition.de/media/image/product/170/lg/gn-gaba-powder-120g.jpg;1; 
021800;https://best-nutrition.de/media/image/product/170/lg/gn-gaba-powder-120g~2.jpg;2;
021900;https://best-nutrition.de/media/image/product/171/lg/gn-beta-sun-30-caps.jpg;1; 
021900;https://best-nutrition.de/media/image/product/171/lg/gn-beta-sun-30-caps~2.jpg;2;
022000;https://best-nutrition.de/media/image/product/172/lg/gn-zinc-citrate-120-tabl.jpg;1; 
022000;https://best-nutrition.de/media/image/product/172/lg/gn-zinc-citrate-120-tabl~2.jpg;2;
022300;https://best-nutrition.de/media/image/product/175/lg/gn-genetic-test-ultimate-180-kapsel.jpg;1;
022400;https://best-nutrition.de/media/image/product/176/lg/gn-108-fahrenheit-burner-90-caps.jpg;1;
030100;https://best-nutrition.de/media/image/product/185/lg/chiba-42126-premium-wristguard-schwarz.jpg;1; 
030100;https://best-nutrition.de/media/image/product/185/lg/chiba-42126-premium-wristguard-schwarz~2.jpg;2;
030100-001;https://best-nutrition.de/media/image/product/186/lg/chiba-42126-premium-wristguard-schwarz-xs.jpg;1; 
030100-001;https://best-nutrition.de/media/image/product/186/lg/chiba-42126-premium-wristguard-schwarz-xs~2.jpg;2;
030100-002;https://best-nutrition.de/media/image/product/187/lg/chiba-42126-premium-wristguard-schwarz-s.jpg;1; 
030100-002;https://best-nutrition.de/media/image/product/187/lg/chiba-42126-premium-wristguard-schwarz-s~2.jpg;2;
030100-003;https://best-nutrition.de/media/image/product/188/lg/chiba-42126-premium-wristguard-schwarz-m.jpg;1; 
030100-003;https://best-nutrition.de/media/image/product/188/lg/chiba-42126-premium-wristguard-schwarz-m~2.jpg;2;
030100-004;https://best-nutrition.de/media/image/product/189/lg/chiba-42126-premium-wristguard-schwarz-l.jpg;1; 
030100-004;https://best-nutrition.de/media/image/product/189/lg/chiba-42126-premium-wristguard-schwarz-l~2.jpg;2;
030100-005;https://best-nutrition.de/media/image/product/190/lg/chiba-42126-premium-wristguard-schwarz-xl.jpg;1; 
030100-005;https://best-nutrition.de/media/image/product/190/lg/chiba-42126-premium-wristguard-schwarz-xl~2.jpg;2;
030100-006;https://best-nutrition.de/media/image/product/191/lg/chiba-42126-premium-wristguard-schwarz-xxl.jpg;1; 
030100-006;https://best-nutrition.de/media/image/product/191/lg/chiba-42126-premium-wristguard-schwarz-xxl~2.jpg;2;
030900;https://best-nutrition.de/media/image/product/247/lg/chiba-40170-grippad-pro.jpg;1; 
030900;https://best-nutrition.de/media/image/product/247/lg/chiba-40170-grippad-pro~2.jpg;2;
031000;https://best-nutrition.de/media/image/product/250/lg/chiba-40186-motivation-grippad-schwarz.jpg;1; 
031000;https://best-nutrition.de/media/image/product/250/lg/chiba-40186-motivation-grippad-schwarz~2.jpg;2;
031100;https://best-nutrition.de/media/image/product/253/lg/chiba-40400-power-schwarz.jpg;1; 
031100;https://best-nutrition.de/media/image/product/253/lg/chiba-40400-power-schwarz~2.jpg;2;
031100-001;https://best-nutrition.de/media/image/product/254/lg/chiba-40400-power-schwarz-s.jpg;1; 
031100-001;https://best-nutrition.de/media/image/product/254/lg/chiba-40400-power-schwarz-s~2.jpg;2;
031100-002;https://best-nutrition.de/media/image/product/255/lg/chiba-40400-power-schwarz-m.jpg;1; 
031100-002;https://best-nutrition.de/media/image/product/255/lg/chiba-40400-power-schwarz-m~2.jpg;2;
031100-003;https://best-nutrition.de/media/image/product/256/lg/chiba-40400-power-schwarz-l.jpg;1; 
031100-003;https://best-nutrition.de/media/image/product/256/lg/chiba-40400-power-schwarz-l~2.jpg;2;
031100-004;https://best-nutrition.de/media/image/product/257/lg/chiba-40400-power-schwarz-xl.jpg;1; 
