"Artikelnummer";"Artikelname";"Verfügbar";
"030205";"Chiba Iron Plus schwarz XS";"0,00";
"030203";"Chiba Iron Plus schwarz S";"0,00";
"030202";"Chiba Iron Plus schwarz M";"0,00";
"030201";"Chiba Iron Plus schwarz L";"0,00";
"030204";"Chiba Iron Plus schwarz XL";"0,00";
"030206";"Chiba Iron Plus schwarz XXL";"0,00";
"030300";"Chiba - 42162 - Gel Extreme schwarz";"0,00";
"030301";"Chiba Gel Extreme schwarz XS";"0,00";
"030302";"Chiba Gel Extreme schwarz S";"0,00";
"030303";"Chiba Gel Extreme schwarz M";"0,00";
"030304";"Chiba Gel Extreme schwarz L";"0,00";
"030305";"Chiba Gel Extreme schwarz XL";"0,00";
"030306";"Chiba Gel Extreme schwarz XXL";"0,00";
"030400";"Chiba - 42172 - Classic Braun";"0,00";
"030405";"Chiba Classic braun XS";"0,00";
"030403";"Chiba Classic braun S";"0,00";
"030402";"Chiba Classic braun M";"0,00";
"030401";"Chiba Classic braun L";"0,00";
"030404";"Chiba Classic braun XL";"0,00";
"030406";"Chiba Classic braun XXL";"0,00";
"030500";"Chiba - 40124 - Wristguard II schwarz";"0,00";
"030501";"Chiba Wristguard II schwarz XS";"0,00";
"030502";"Chiba Wristguard II schwarz S";"0,00";
"030503";"Chiba Wristguard II schwarz M";"0,00";
"030504";"Chiba Wristguard II schwarz L";"0,00";
"030505";"Chiba Wristguard II schwarz XL";"0,00";
"030506";"Chiba Wristguard II schwarz XXL";"0,00";
"030600";"Chiba - 40134 - Wrist Protect schwarz";"0,00";
"030601";"Chiba Wrist Protect schwarz XS";"0,00";
"030602";"Chiba Wrist Protect schwarz S";"0,00";
"030603";"Chiba Wrist Protect schwarz M";"0,00";
"030604";"Chiba Wrist Protect schwarz L";"0,00";
"030605";"Chiba Wrist Protect schwarz XL";"0,00";
"030606";"Chiba Wrist Protect schwarz XXL";"0,00";
"030700";"Chiba Iron II schwarz";"0,00";
"030705";"Chiba Iron II schwarz XS";"0,00";
"030703";"Chiba Iron II schwarz S";"0,00";
"030702";"Chiba Iron II schwarz M";"0,00";
"030701";"Chiba Iron II schwarz L";"0,00";
"030704";"Chiba Iron II schwarz XL";"0,00";
"030706";"Chiba Iron II schwarz XXL";"0,00";
"030800";"Chiba - 40160 - Gel Performer schwarz";"0,00";
"030801";"Chiba Gel Performer schwarz XS";"0,00";
"030802";"Chiba Gel Performer schwarz S";"0,00";
"030803";"Chiba Gel Performer schwarz M";"0,00";
"030804";"Chiba Gel Performer schwarz L";"0,00";
"030805";"Chiba Gel Performer schwarz XL";"0,00";
"030806";"Chiba Gel Performer schwarz XXL";"0,00";
"030900";"Chiba - 40170 - Grippad Pro";"12,00";
"030900-001";"Chiba - 40170 - Grippad Pro S/M";"11,00";
"030900-002";"Chiba - 40170 - Grippad Pro L/XL";"1,00";
"031000";"Chiba - 40186 - Motivation Grippad schwarz";"10,00";
"031000-001";"Chiba - 40186 - Motivation Grippad schwarz S/M";"10,00";
"031000-002";"Chiba - 40186 - Motivation Grippad schwarz L/XL";"0,00";
"031100";"Chiba - 40400 - Power schwarz";"10,00";
"031100-001";"Chiba - 40400 - Power schwarz S";"1,00";
"031100-002";"Chiba - 40400 - Power schwarz M";"0,00";
"031100-003";"Chiba - 40400 - Power schwarz L";"0,00";
"031100-004";"Chiba - 40400 - Power schwarz XL";"0,00";
"031100-005";"Chiba - 40400 - Power schwarz XXL";"2,00";
"031200";"Chiba - 40400 - Power schwarz/Gelb";"1,00";
"031200-002";"Chiba - 40400 - Power schwarz/Gelb S";"0,00";
"031200-003";"Chiba - 40400 - Power schwarz/Gelb M";"0,00";
"031200-004";"Chiba - 40400 - Power schwarz/Gelb L";"0,00";
"031200-005";"Chiba - 40400 - Power schwarz/Gelb XL";"0,00";
"031200-006";"Chiba - 40400 - Power schwarz/Gelb XXL";"0,00";
"031300";"Chiba - 30410 - Athletic schwarz";"18,00";
"031300-001";"Chiba - 30410 - Athletic schwarz S";"6,00";
"031300-002";"Chiba - 30410 - Athletic schwarz M";"4,00";
"031300-003";"Chiba - 30410 - Athletic schwarz L";"2,00";
"031300-004";"Chiba - 30410 - Athletic schwarz XL";"2,00";
"031300-005";"Chiba - 30410 - Athletic schwarz XXL";"0,00";
"031400";"Chiba - 30410 - Athletic braun";"30,00";
"031400-001";"Chiba - 30410 - Athletic braun XS";"4,00";
"031400-002";"Chiba - 30410 - Athletic braun S";"5,00";
"031400-003";"Chiba - 30410 - Athletic braun M";"5,00";
"031400-004";"Chiba - 30410 - Athletic braun L";"5,00";
"031400-005";"Chiba - 30410 - Athletic braun XL";"5,00";
"031400-006";"Chiba - 30410 - Athletic braun XXL";"6,00";
"031500";"Chiba - 30410 - Athletic türkis";"0,00";
"031501";"Chiba Athletic türkis XS";"0,00";
"031502";"Chiba Athletic türkis S";"0,00";
"031503";"Chiba Athletic türkis M";"0,00";
"031504";"Chiba Athletic türkis L";"0,00";
"031505";"Chiba Athletic türkis XL";"0,00";
"031506";"Chiba Athletic türkis XXL";"0,00";
"031600";"Chiba - 40416 - Fit - Schwarz";"29,00";
"031600-001";"Chiba - 40416 - Fit - Schwarz XS";"7,00";
"031600-002";"Chiba - 40416 - Fit - Schwarz S";"8,00";
"031600-003";"Chiba - 40416 - Fit - Schwarz M";"1,00";
"031600-004";"Chiba - 40416 - Fit - Schwarz L";"2,00";
"031600-005";"Chiba - 40416 - Fit - Schwarz XL";"5,00";
"031600-006";"Chiba - 40416 - Fit - Schwarz XXL";"6,00";
"031700";"Chiba - 40428 - Allround schwarz";"0,00";
"031800";"Chiba - 40420 - Allround rot";"0,00";
"031800-001";"Chiba - 40420 - Allround rot XS";"0,00";
"031800-002";"Chiba - 40420 - Allround rot S";"0,00";
"031800-003";"Chiba - 40420 - Allround rot M";"0,00";
"031800-004";"Chiba - 40420 - Allround rot L";"0,00";
"031800-005";"Chiba - 40420 - Allround rot XL";"0,00";
"031800-006";"Chiba - 40420 - Allround rot XXL";"0,00";
"031900";"Chiba - 40428 - Allround dk. grau";"1,00";
"031900-001";"Chiba - 40428 - Allround dk. grau XS";"0,00";
"031900-002";"Chiba - 40428 - Allround dk. grau S";"0,00";
"031900-003";"Chiba - 40428 - Allround dk. grau M";"0,00";
"031900-004";"Chiba - 40428 - Allround dk. grau L";"0,00";
"031900-005";"Chiba - 40428 - Allround dk. grau XL";"0,00";
"031900-006";"Chiba - 40428 - Allround dk. grau XXL";"1,00";
"032000";"Chiba - 40912 - Lady Pro Active hellgrau";"0,00";
"032001";"Chiba Lady Pro Active hellgrau XS";"0,00";
"032002";"Chiba Lady Pro Active hellgrau S";"0,00";
"032003";"Chiba Lady Pro Active hellgrau M";"0,00";
"032004";"Chiba Lady Pro Active hellgrau L";"0,00";
"032100";"Chiba - 40912 - Lady Pro Active pink";"1,00";
